,Building Name,Latitude,Longitude
0,NEW YORK SMSA LIMITED PARTNERSHIP,"40,53,10","73,59,0"
1,NEW YORK SMSA LIMITED PARTNERSHIP,"40,59,55","73,50,8"
2,NEW YORK SMSA LIMITED PARTNERSHIP,"41,7,12","73,42,38"
3,NEW YORK SMSA LIMITED PARTNERSHIP,"41,9,3","74,1,38"
4,NEW YORK SMSA LIMITED PARTNERSHIP,"41,13,43","73,54,6"
5,NEW YORK SMSA LIMITED PARTNERSHIP,"41,15,30","73,32,5"
6,"NEW CINGULAR WIRELESS PCS, LLC","41,15,30","73,32,4"
7,"NEW CINGULAR WIRELESS PCS, LLC","41,23,21","73,58,50"
8,ORANGE COUNTY-POUGHKEEPSIE LIMITED PARTNERSHIP,"41,23,22","73,58,50"
9,NEW YORK SMSA LIMITED PARTNERSHIP,"41,25,54","73,52,49"
10,"NEW CINGULAR WIRELESS PCS, LLC","41,25,55","73,52,49"
11,"NEW CINGULAR WIRELESS PCS, LLC","41,26,18","73,46,37"
12,"NEW CINGULAR WIRELESS PCS, LLC","41,27,49","73,38,58"
13,"NEW CINGULAR WIRELESS PCS, LLC","41,28,20","73,49,0"
14,ORANGE COUNTY-POUGHKEEPSIE LIMITED PARTNERSHIP,"41,29,19","73,56,50"
15,"NEW CINGULAR WIRELESS PCS, LLC","41,30,55","73,39,48"
16,NEW YORK SMSA LIMITED PARTNERSHIP,"41,30,55","73,39,48"
17,ORANGE COUNTY-POUGHKEEPSIE LIMITED PARTNERSHIP,"41,31,18","73,38,4"
18,"NEW CINGULAR WIRELESS PCS, LLC","41,31,18","73,38,4"
19,ORANGE COUNTY-POUGHKEEPSIE LIMITED PARTNERSHIP,"41,31,43","73,46,4"
20,"NEW CINGULAR WIRELESS PCS, LLC","41,31,43","73,46,4"
21,"NEW CINGULAR WIRELESS PCS, LLC","41,31,45","73,56,45"
22,"NEW CINGULAR WIRELESS PCS, LLC","41,34,20","73,40,55"
23,"NEW CINGULAR WIRELESS PCS, LLC","41,42,52","73,32,3"
